,screen_name,followers,friends,description,tweets
549,easyjanjansen,37707,32072,CEO @Easy_Branches @77jjeb #seoexpert @authorjanjansen @network_easy #networker #socialmedia #influencer #seo https://t.co/u1YhXeN1qx,887169
550,easyjanjansen,37707,32072,CEO @Easy_Branches @77jjeb #seoexpert @authorjanjansen @network_easy #networker #socialmedia #influencer #seo https://t.co/u1YhXeN1qx,887169
551,El_11_Ideal,191,111,En YouTube hablamos sobre los suburbios del fútbol. En Twitch subfutboleamos en Football Manager y Fifa!,570
552,Ryan_Gattis,2219,192,Author. @PENamerica Prison Writing Mentor. New novel: THE SYSTEM (US & UK: Dec 20).,8445
553,EasySoccerNews,17695,9235,#Daily #International #Americanfootball #Football #transfers #SoccerNews @easybranches @easy_branches #news #association #score #soccer #sport #fifa #nfl #nba,536014
554,EasySoccerNews,17695,9235,#Daily #International #Americanfootball #Football #transfers #SoccerNews @easybranches @easy_branches #news #association #score #soccer #sport #fifa #nfl #nba,536014
555,EasySoccerNews,17695,9235,#Daily #International #Americanfootball #Football #transfers #SoccerNews @easybranches @easy_branches #news #association #score #soccer #sport #fifa #nfl #nba,536014
556,EasySoccerNews,17695,9235,#Daily #International #Americanfootball #Football #transfers #SoccerNews @easybranches @easy_branches #news #association #score #soccer #sport #fifa #nfl #nba,536014
557,EasySoccerNews,17695,9235,#Daily #International #Americanfootball #Football #transfers #SoccerNews @easybranches @easy_branches #news #association #score #soccer #sport #fifa #nfl #nba,536014
558,4TPete,28,171,On here to keep up with news and laugh at the crazies,3920
559,EasySoccerNews,17695,9235,#Daily #International #Americanfootball #Football #transfers #SoccerNews @easybranches @easy_branches #news #association #score #soccer #sport #fifa #nfl #nba,536014
560,wilshy77,135,176,,9378
561,footyn247,6064,1968,Football news and betting offers all in one place .Over 18 + Please gamble responsibly. https://t.co/0WiNwt5hky,153574
562,Danny_K92,106,127,Levensgenieter pur sang * Cambuur is mien wief.,11341
563,Ronald_fcg,596,880,"Supporter FC Groningen 💚⚽, Seizoenkaart vak E! | Bekerwinnaar 2015 🏆 | ❤️ @MarjoleinH_",108196
564,theraasia,3616,341,"23 || she/her || writer || 🔞 nsfw, no minors allowed II ☕: https://t.co/4bFKOc5VeV || comm info: https://t.co/VeYhO4iTyX || @dabihawksauzine @bnhaborne",16710
565,TT_Ajax,23,0,The most discussed news on Twitter about Ajax,4033
566,AjaxFanatics,20174,139,Het laatste nieuws over de mooiste club ter wereld!,46883
567,BeerRapBants,3283,3097,"Hilarious Podcasters and Armchair Arsenal fans @EngsLT and @KalSereousz discuss the latest current affairs, music, pop culture and sport.",7289
568,Ajax1nl,99062,402,Ajax1.nl - Het laatste nieuws over @AFCAjax - Official Ajax Fansite,82658
569,Mel_Ajax,21,98,ajax,265
570,Mediagol,8068,4,"#News sul #Calcio in tempo reale. Aggiornamenti, #interviste, #indiscrezioni su #calciomercato e #SerieA. Su #Mediagol #Palermo #video #foto e #gossipcalcio",187115
571,midelenburg_,284,637,Twittert veel over Ajax en is in europa voor de Nederlandse clubs in het kader van de #coëfficiëntenpolonaise.,4883
572,its_yaboy_ajax,32,106,Twitch Streamer/ Pc Gamer,65
573,UgoBaroni,2182,4813,,302644
574,Soccernews_nl,18778,8087,Dagelijks het laatste voetbalnieuws uit binnen- en buitenland.,298398
575,ftblmichaeI,717,993,#blacklivesmatter | drums | @LFC x @englandcricket x @arcticmonkeys | if you've come here to win an argument you've already lost,14460
576,VI_nl,470851,713,Het officiële account van Voetbal International ⚽️ Facebook: https://t.co/Q06GnqFn0i Instagram: https://t.co/SpkEM4To9B,184551
577,Sentenc43036607,229,238,harto de este gobierno #VOXYa,291
578,ola_nordin,6,307,,4
579,HYDRAULICUS,459,334,ㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤㅤ,1495
580,_GL_M_,665,737,Ma io sono fiera del mio sognare. Di questo eterno mio incespicare. #𝕻𝖆𝖟𝖟𝖆‧𝕴𝖓𝖙𝖊𝖗 #𝕬𝖒𝖆𝖑𝖆 #𝕻𝖊𝖗𝕬𝖘𝖕𝖊𝖗𝖆𝕬𝖉𝕬𝖘𝖙𝖗𝖆 / #𝕭𝖔𝖗𝖓𝕿𝖔𝕱𝖎𝖘𝖍,10747
581,HigorSantos_10,4570,394,Análise de desempenho e scouting freelancer. Um dos fundadores do @MundialScouting.,14309
582,AgameR_Gaming,266,420,"@AgameR_Modder | Lead dev @VertexHX, PC & Tech Enthusiast | ◢ ◤ 

not always serious",9588
583,MoroccanMaestro,1862,1566,,43061
584,PECZwolleLive,1488,1,Live: nieuws /// geruchten /// verslagen /// video's /// foto's,59999
585,RonaldJager76,171,320,"HEAD,(concern)controller, voetbalfan (Old Forward, Ajax, VV/FC Oegstgeest en Read Swart), levensgenieter. Bijna 20 jaar werkzaam in de zorg (va sept 2000)",18780
586,025_Ajax,333,1536,"Green Infrastructure, Disasters, and Climate Change. Saelish Cascadia, Western Hemlock Zone. All my opinions are my own. He/Him. I work for plants.",49922
587,its_yaboy_ajax,32,106,Twitch Streamer/ Pc Gamer,65
588,manurecre97,13,308,,384
589,manurecre97,13,308,,384
590,DenO_Tokunation,2898,305,"Editor-In-Chief at TokuNation,
Toy photographer & reviewer,
enabler for imported toys extraordinaire, he/him, ally to any who need it.",84314
591,Sully_UTC,1748,2537,"#trancefiend!❤ 🙌 Massive fan of @chelseafc, @ChelseaFCW 💙 & Cork GAA❤ @Lightningvswave ❤",128505
592,dmitryx_x,0,9,,15
593,its_yaboy_ajax,32,106,Twitch Streamer/ Pc Gamer,65
594,Mikkimo4,53,270,Due colori e una passione 🔴⚫.,1498
595,025_Ajax,333,1536,"Green Infrastructure, Disasters, and Climate Change. Saelish Cascadia, Western Hemlock Zone. All my opinions are my own. He/Him. I work for plants.",49922
596,manuib97,672,649,,11310
597,manuib97,672,649,,11310
598,zwemvogel,371,878,#AJAX #Amsterdam #moeder #vrijwilligjuf,33403
599,dans_nld,1618,1351,new account |Igbo🇳🇬| @realmadriden @brentfordfc,24964
600,TonySearle,171,341,flyfishing/cycling/drawing/malt whisky/Spurs ...a ludicrous combo!,2147
601,BetsSoccerRU,182,184,"Бесплатные прогнозы на футбол
#ставкинафутбол #прогнозынафутбол",4196
602,ajax_lesser,267,364,"The Nerdiest, Cockiest Rapper in ya Area. 🤙🏾😤Jersey Die Hard. ✊🏾The Greatest Christmas Gift. I’m nothing if not a human curveball. He/Him",2456
603,TMerritt_9,487,1058,"🏋🏾‍♂️Midfield General⚽️
Winter is coming


Brockport 19👨🏿‍🎓
FBMA


DJ WORLDBOSS
Co-host of Overthinking Hours Podcast",37926
604,its_yaboy_ajax,32,106,Twitch Streamer/ Pc Gamer,65
605,OmniKhaos77,6,45,"Nerd, Geek, Lover of Robots that Combine & Model Kits (Figure-Rise Standard and Mini-Pla)",192
606,SIept_On,265,278,Usually bored when I'm on here,12129
607,Ajax_SoccerNews,4457,242,"Het laatste nieuws over Ajax. 33x landskampioen, 18x bekerwinnaar, 2x wereldkampioen!",54643
608,scHeerenveen_SN,1169,234,Het laatste nieuws over sc Heerenveen. Bekerwinnaar in 2009!,9407
609,ajaxnieuws247,171,419,,47310
610,78_Ajax,790,3881,College of the Canyons Alum | LLBM🕊 #JUCOPRODUCT,2231
611,ajaxDedetizador,9,25,Desentupidora e Dedetizadora há mais de 15 anos atuando em todo estado de São Paulo.,401
612,detikcom,16412212,30,Official Twitter of https://t.co/oOBkZ1EQMA. redaksi@detik.com | promosi@detik.com | Android: https://t.co/uBAYnisH9r iPhone: https://t.co/36uDqdyxKN,1731034
613,FHistorie,45,286,"Plato: 'The consequence of not participating in politics, is being governed by your inferiors!'",1529
614,ramonmoor,1427,1171,"Betreurt de ontstane ophef en herkent zich niet in het geschetste beeld!
Voetbal | PSV | Odin'59",13998
615,sammyokun,345,1217,🦁,20243
616,bgrey62253,38,64,"Stroke survivor, Westies, Deltics & former press officer/programme editor at Blyth Spartans.",3255
617,SN_Clickbait,781,2,Geboren uit haat aan clickbait. Deze bot plaats automatisch afbeeldingen van Soccernews artikelen. 🤖,27396
618,m_simonetti,750,882,"Moço de fino trato. Palmeirense, pai, marido. Humor caustico e lingua ferina.",47515
619,RoestendeRoos,407,267,"Weet van heel veel dingen een beetje ¬ Twee dochters ¬ Verliefd op G. ¬ Allergisch voor racisme & facisme ¬ Ajax, bier & koken ¬ Gifjesprinses",4114
620,GinoTweetsF1,3,0,,638
621,its_yaboy_ajax,32,106,Twitch Streamer/ Pc Gamer,65
622,ajax_marsad,41,891,"I like chocolates and serial killers
@UCalgary Class of 2024",3086
623,Tora_Bushido,1573,2241,"Random guy with an opinion - Freedom of Speech - Gamer since Pong - Free-Thinker. 1984 was not a manual! 

Open minded, but will call bullshit when I see it. 😉",47526
624,OldFootball11,79248,1877,We share #OldFootballPhotos till Aug. 1992 #AgainstModernFootball #ForTheLoveOfFootball Lets enjoy it,85093
625,fr12ferdi,376,244,Volgt Feyenoord + Stadion dossier op de voet.,776
626,Lethal_Licha,457,729,"18 y/o. MK20 HZ22 DN7 QP11 Ajax en Liverpool. Alles goed, Tudo Bem? Professioneel Azijnzeiker. Lasse Schöne van het Oosten",38135
627,nabanmudrik,964,623,Logged in,48070
628,RobvanderPoel4,44,180,,4472
629,MichaelJBell09,2732,423,Editor and founder of @footballoranje_ Write about all things Dutch football. Oranje and NUFC fan. DM’s open for queries.,6117
630,Soccernews_nl,18778,8087,Dagelijks het laatste voetbalnieuws uit binnen- en buitenland.,298398
631,025_Ajax,333,1536,"Green Infrastructure, Disasters, and Climate Change. Saelish Cascadia, Western Hemlock Zone. All my opinions are my own. He/Him. I work for plants.",49922
632,025_Ajax,333,1536,"Green Infrastructure, Disasters, and Climate Change. Saelish Cascadia, Western Hemlock Zone. All my opinions are my own. He/Him. I work for plants.",49922
633,ajax_timo,14,119,,463
634,RS_Cup,120,325,,9761
635,AjaxFanatics,20174,139,Het laatste nieuws over de mooiste club ter wereld!,46883
636,ajacied072,173,71,Speciaal side account voor mijn enorme drang naar voetbal (lees Ajax) tweets.,6611
637,Jon_LeGossip,40368,2473,France-based soccer correspondent for @UCLonCBSSports.,183943
638,Jrlimabfr,1500,525,Marketing 📚 | Minhas infelicidades serão sempre inspirações,216121
639,ottopagine,6092,20,Il twitter feed ufficiale delle notizie di Ottopagine.it,246468
640,Ajax_SoccerNews,4457,242,"Het laatste nieuws over Ajax. 33x landskampioen, 18x bekerwinnaar, 2x wereldkampioen!",54643
641,JohndeJonge1,1161,553,"Mediator bij John de Jonge Mediation, voorzitter SV FC Groningen, bestuurslid DoeZoo. Happy met @RenataFCG, zoon Dennis en hond Gina. Twittert op eigen naam",6510
642,7even11vn,410,414,#BlackLivesMatter The/Thee,9693
643,AtalantaPassion,283,316,"English Speaking Fanpage for Serie A's Favorite Goddess: #Atalanta B.C.
Check out the site at https://t.co/5Oq17USfJM

Instagram: atalanta_passione_us",829
644,Northern_Loki,6,60,🌍 The great myth of our times is that technology is communication. #StoptheSpread 😷 #WeartheDamnMask,85
645,PirloPreseason,15,155,Repping Rojo till Andy Perry returns #FreeMarquitosRojo #FreeChiquitoRomero,330
646,Oluwatobisteph6,2437,2829,"Graphics designer👩‍🎨|CHELSEA fan💙 Reece James stan❤️ ...Cristiano ⚽️ ..Travis Scott ,Young Thug,Future and Chris Brown ❤️🎧.",7056
647,jdnijland,35494,111,"Voormalig Algemeen Directeur FC Groningen. Ondernemer, Hattrick Media, Nian bv, ambassadeur van diverse instellingen, geeft lezingen",15597
648,TlalpanVecinos,50329,24002,"Todo lo relacionado con la Delegación, eventos, restaurantes, bares, temas de interés.
Contacto: Tlalpanvecinos@gmail.com",101923
649,TheDuckGod,5369,2285,"✦ Hedgehog Stan ✦ Vtuber addict ✦ Kick enthusiast
✦ Freelance Artist ✦ He/Him 
✦ Art only acc: @laminatedduck 
✦ Email: contact@arq.design 
✦ Avatar: @Kohane01",13706
650,Ajax_SoccerNews,4457,242,"Het laatste nieuws over Ajax. 33x landskampioen, 18x bekerwinnaar, 2x wereldkampioen!",54643
651,MariaMeijer3,1055,2461,Geniet van het leven. Het kan heel kort zijn,35525
652,TheDuckGod,5369,2285,"✦ Hedgehog Stan ✦ Vtuber addict ✦ Kick enthusiast
✦ Freelance Artist ✦ He/Him 
✦ Art only acc: @laminatedduck 
✦ Email: contact@arq.design 
✦ Avatar: @Kohane01",13706
653,Soccernews_nl,18778,8087,Dagelijks het laatste voetbalnieuws uit binnen- en buitenland.,298398
654,Azazel_FCB,183,225,Culé y Antimadridista.,9906
655,DriessenJelle,215,291,AJAX RKPSC A1,124256
656,ukBettingNews,23074,1347,18+ BeGambleAware,39442
657,BettingDirector,231402,118287,"Love Sport. Love Betting. Love Winning more! Tweeting opinions, views and free tips on every sport from Football to Horse Racing. Followers must be 18+",15610
658,FutballTweets,316846,129864,"Football Jokes, Videos, Transfers & more... *(We don't claim to own any content that we post)* Contact: futballtweets@gmail.com. 18+",24979
659,ManUtdArena,27306,41409,#GGMU,8399
660,RealityWrite,5336,1920,"Your destination for entertainment, film and reality TV news. Little sister to @RealityBiteCom. Followers must be 18+.",15552
661,NawassineBm,49,168,"Architect, Cinema Enthusiast, Gamer 
                        & Hala Madrid!",1905
662,RoundAndWhite,44091,7785,"News & views created by football fans for fans. Join our growing community today: https://t.co/NZcathszRL , followers 18+.
Instagram - @roundandwhite",12254
663,princigallomich,374,439,,47098
664,keyphraseco,4709,3190,,4262
665,Foulk32,1190,4993,Plutôt engageant.,117330
666,NoblecoPostulis,91,187,"Zwijgen kan heel inhoudelijk zijn. Als je maar wel overwogen bepaalt wanneer je zwijgt, en wanneer je tweet. Die keuze bepaalt waar je voor staat.",3887
667,Ajax_Ranger,829,364,"Blogger @ShinyToyRobots_ and @Tokunation staff member ZeoRangerV. Writer as seen in/on @NEO_Magazine, @MyMMag, @TokuToyStore, @ukanime, @BlogtorWho & more.",31452
668,ajax_lee,252,571,Territoire privé,9387
669,messicanoooo,412,651,,5494
670,sergitravieso,325,931,"Jugador de clubes pro DFC en @BurjaTeam PS4🎮 //Sergi//4⃣👕

Formo parte de @FichajeGoleador administrando @Leicester_GO

Amante de los Mavs💙 bueno de Doncic😍",3061
671,OxcarCFC,731,842,// Chelsea Fan Account // Not affiliated with Billy Gilmour //,5459
672,Ajax_en_folie,34,193,自由な演劇。馬。自由な美術。,220
673,ackah_albertino,2495,1576,follow me and i will follow back,50824
674,traveleff,799,1601,🏳️‍⚧️🇬🇧 • Handball player • @AthleteAlly Pro Ambassador • Artist @ehn_design • Billingham Where It Started 🏆,40441
675,JackMarsman,5357,3910,"Onafhankelijk, ongenuanceerd, altijd op zoek naar de waarheid. Tweet in English, Dutch, Spanish, Italian and Russian. Trotse blanke racist.",403345
676,BavithH,164,264,Manchester United ❤️,6663
677,Xapharoklm,53,94,"BAC +10 en chômagerie

PS : je follow back",1791
678,Time4Stream,287,1252,"Time4Stream is a service company operating in the field of professional television and radio broadcasting, Live ENG Crews, Video News Agency",3011
679,voetbalflitsen,104456,327,"Het laatste voetbalnieuws over Ajax, Feyenoord, PSV en alle andere Eredivisie-clubs. Abonneer je ook op @vtbflitsenwtf voor 'gekke' berichten en voetbalhumor.",81128
680,BrevetBlanc2017,582,543,"Roi des loutres de mer, maître-loutre sécurité, Maman Loutre assermenté, premier baptisateur français de loutres de mer, expert antiterrorisme.",34735
681,ruffbreak_tw2,12,0,,92483
682,Ajax_Ranger,829,364,"Blogger @ShinyToyRobots_ and @Tokunation staff member ZeoRangerV. Writer as seen in/on @NEO_Magazine, @MyMMag, @TokuToyStore, @ukanime, @BlogtorWho & more.",31452
683,025_Ajax,333,1536,"Green Infrastructure, Disasters, and Climate Change. Saelish Cascadia, Western Hemlock Zone. All my opinions are my own. He/Him. I work for plants.",49922
684,Ajax1nl,99062,402,Ajax1.nl - Het laatste nieuws over @AFCAjax - Official Ajax Fansite,82658
685,thfc_ajax_col_7,290,892,Spurs COL Ajax Jubilo Giants 遊撃手が好き ❌❌❌ @AaronRamsdale98 @OnsOranje,14601
686,pg_hanalei,1340,3356,"ウェブカツ始めようと思います。(2020/10/13)
Webプログラミングは職業訓練で少しやった程度です(2018)
現職は無関係(総務事務）
できる限り学習内容を吐き出してどうなるかお見せできればと思います
エンジニア・プログラマー　フォロバします
#プログラミング初心者  
#駆け出しエンジニアと繋がりたい",777
687,RaulDanzziani,347,257,,5543
688,sadfgffd455,358,1968,bruhh,2162
689,TheDuckGod,5369,2285,"✦ Hedgehog Stan ✦ Vtuber addict ✦ Kick enthusiast
✦ Freelance Artist ✦ He/Him 
✦ Art only acc: @laminatedduck 
✦ Email: contact@arq.design 
✦ Avatar: @Kohane01",13706
690,bolabangetidn,644,1204,BolaBanget - 1st Sports Content Aggregator in Indonesia / Contact info@bolabanget.id / Instagram @bolabanget,200733
691,EinarLinke,690,957,Geschiedenis is onderschat. Volgen is gevolgd worden..,57824
692,hartaglia,460,253,#childe: you truly bore me... let’s see how you feel when you bleed • she / they,9822
693,davidinho_21,2227,1473,,41064
694,JariRJ,154,309,"Financial Accountant, husband, dad, Ajax-supporter and more",13604
695,Erik00769127,1,74,Being unique,384
696,ajax_lee,252,571,Territoire privé,9387
697,VoetbalUltras,17586,115,✉️ info@voetbalultras.nl,3539
698,Azazel_FCB,183,225,Culé y Antimadridista.,9906
699,WorldFootballGJ,144,133,Account met laatste voetbal links | Voetbal over de hele wereld | #nederlands | #nf #nfb | Meer info in de ava | #GJ,161340
700,jangajentaan,12813,3118,"Amsterdammer in Rotterdam. Blogger en twitteraar. Tegen de onzin, net als Syp.

#OpinieZ #voetbalvader #Volvo940 #zwevendekiezer",105047
701,fnapolisempre83,462,362,"nuovo account di zio @FNAPOLISEMPRE83  il precedente è saltato perché qualcuno non coglie l'ironia. Padre amorevole, malato del Napoli",9103
702,Matias9801,39,471,,1964
703,ajaxpickering,2713,1794,"Click.Uncover.Discover Ajax and Pickering! The Good-News-Only Portal showcasing Local Restaurants, Businesses, Events, Movie Listings, Traffic Cameras & More!",52863
704,THEGENERALGOON,716,2669,"Irish  streamer/call of duty team member for @kazokunation
twitch affiliate sponsored by
@CinchGaming use code Thegoongamer for 5% off",5705
705,Doumbia_FUT,24404,546,🎮 Hago contenido para FUT 🎮  Siempre team 22-8,15393
706,TuriminVanthat,398,1319,WEB DEVELOPMENT maaf cuman acount auto shared saja..,114823
707,AurelieHollyW,169,269,👩‍❤️‍👨👫🌠🐶🐱💍🐕,8242
708,KitHunters,2595,2232,I buy and sell rare/new/match worn football shirts! I auction them at 99p and let them go for what they go for! Avid Liverpool FC shirt collector too! Will FB!,4261
709,Diego88819434,3,57,la literatura,41
710,detiksport,3674956,316,"Akun resmi situs berita olahraga 	
 Contact: redaksi@detiksport.com | info@detiksport.com | promosi@detik.com",301790
711,AyBound,1109,917,Alex Scholte | 20 ||💙 @AFCAjax & @OnsOranje 💙 | @ZooMaa Mod | @DetoxTheDon | @EricaaSmithh ❤️| Unbiased opinions | I enjoy watching chelsea & Barca| @eUnited,24109
712,ajaxpickering,2713,1794,"Click.Uncover.Discover Ajax and Pickering! The Good-News-Only Portal showcasing Local Restaurants, Businesses, Events, Movie Listings, Traffic Cameras & More!",52863
713,footymania247,4934,1307,"Latest football news from around the world,transfers,fixtures,results and much more.Over 18 + Please gamble responsibly. https://t.co/0WiNwt5hky",189880
714,FredGreve,272,270,"prof soccerplayer Swet it ut  St.Pauli,Ajax,Terschelling",2896
715,DavidAmoyal,123201,992,Calcio & Rock N Roll  @dimarzio English Host & Writer @CalcioLandPod Columnist @ESPN Contact: david.amoyal77@gmail.com,425887
716,gabriele_penati,324,1375,,24424
717,bensharpmufc,2026,2806,• 18 • factual opinions here • @manutd • @arcticmonkeys,14323
718,SkySport,2530203,1221,"#SkySport, il tuo sport tutto da vivere SKY SPORT TEAMS, TUTTO SULLA TUA SQUADRA DEL CUORE, ISCRIVITI QUI https://t.co/IlyJpy6aGM…",308912
719,renzdh3,16,105,,254
720,RFCMatt7,638,572,F1|Football,12728
721,BettingOddsUK,192473,1202,Bettering your sporting experience | 18+ https://t.co/H0vygPeuPj,44164
722,EspinosaCrsiete,4187,2601,26. Estilista. Sevilla. Comento de todo. Más específicamente programas y realitys de televisión y fútbol.,972321
723,zazoomblog,5533,1551,Zazoom Social News ... Tutte le notizie dalle migliori fonti del web! Segnala il tuo Blog. Zazoom Social News è un un'idea che aiuta a dar voce al tuo sito!,3268275
724,pabloo6z,124,123,"Flemme d'avoir une bio, c'est mieux comme ça.",264
725,BambooSpiritMA,603,303,"Modern Arnis/Self defense instructor, blogger, and YouTuber.",10546
726,JACKTHETINKER,144,394,"My name is Jack Tinker, King of Kings; 
Look on my Works, ye Mighty, and despair! new account: @TinkersTruth",49432
727,IlModeratoreWeb,3333,3143,"Testata giornalistica del gruppo Panastudio. Direttore Francesco Panasci https://t.co/SUzvANqoWf  Telegram: 
https://t.co/RaBFXeefgJ",24157
728,WestFutbolFCB,171,197,"DALE AL FOLLOW|
Cuenta dedica a: 
•FC BARCELONA 🏆🔴 
•Fútbol en general 🌎 
(opinión)",929
729,nestquotidiano,126,72,"Quotidiano di informazione economica, politica, cronaca, tecnologia, opinioni, cultura, eventi, territorio, tempo libero, società e ambiente dal Nord Est.",10043
730,leonedorobg,396,623,Il Ristorante Pizzeria Hotel “Il Leone d’Oro”con cucina e pizza anche #senzaglutine e #senzalattosio dal 1998.,7397
731,united_david,130,234,"Manchester Is Red ❤️, Road To 150 Followers 🤩, GGMU❤️😈, Everything is Jokes🙃 🇲🇽",452
732,Ajax__France,5582,551,"Compte français 🇨🇵🇳🇱 traitant de l'actualité de l'#Ajax Amsterdam. Amoureux du football total depuis Cruijff, Neeskens, Bergkamp et autre Litmanen. ❌❌❌",2783
733,Mediamagazine,1869,489,"MediaMagazine |  De Media over de media | Nieuws uit binnen- en buitenland op het gebied van radio, televisie en Intenet.",23780
734,TownOfAjax,12160,1219,"Run by #TOA Communications Team. We monitor Mon - Fri 8:30 a.m. - 4:30 p.m. Our feeds feature Town happenings, news & C-19 updates.",37362
735,Goncho05835882,3,32,,60
736,SN_Clickbait,781,2,Geboren uit haat aan clickbait. Deze bot plaats automatisch afbeeldingen van Soccernews artikelen. 🤖,27396
737,Austchelsea1,4,158,,385
738,Ajax_Ranger,829,364,"Blogger @ShinyToyRobots_ and @Tokunation staff member ZeoRangerV. Writer as seen in/on @NEO_Magazine, @MyMMag, @TokuToyStore, @ukanime, @BlogtorWho & more.",31452
739,cpfcharvz,112,171,"Up the Palace, ‘cold ratio bro🥶’",151
740,Sportbuzzbr,2317,337,SportBuzz traz notícias sobre os atletas além das competições! Saiba tudo sobre as celebridades mais famosas do universo esportivo!,23571
741,TheDuckGod,5369,2285,"✦ Hedgehog Stan ✦ Vtuber addict ✦ Kick enthusiast
✦ Freelance Artist ✦ He/Him 
✦ Art only acc: @laminatedduck 
✦ Email: contact@arq.design 
✦ Avatar: @Kohane01",13706
742,_Clemzer,350,370,𝕱𝕮 𝕹𝖆𝖓𝖙𝖊𝖘 • @Donny_Beek6  𝖕𝖗𝖔𝖕𝖆𝖌𝖆𝖓𝖉𝖆,6544
743,AJAX_29X,62,149,"Love horror movies, wings, beer, bbqs, and streaming games. Twitch affiliate  https://t.co/qN7rHNrPTA. Instagram ajax2982.",1666
744,NickssPizza,20,304,Have a little faith,622
745,Alaphilippe_,2909,1398,Ziet graag Ajax voetballen. Kijkt veel naar LaLiga.,31561
746,Ajax_SoccerNews,4457,242,"Het laatste nieuws over Ajax. 33x landskampioen, 18x bekerwinnaar, 2x wereldkampioen!",54643
747,ItzMtodaB,15,42,I am an extraordinary b*tch who hates other basic ppl #21iscominghome.,553
748,Ajax_sv_garden,1848,1775,EVAリーダー τCet副リーダー,21075
749,SportDirect8,317,363,"Me encanta los deportes, sobre todo el fútbol ⚽ | F.C Barcelona ❤️💙 | Cuanto más difícil sea la victoria, mayor será la felicidad de ganar.",1392
750,Ajax_Ranger,829,364,"Blogger @ShinyToyRobots_ and @Tokunation staff member ZeoRangerV. Writer as seen in/on @NEO_Magazine, @MyMMag, @TokuToyStore, @ukanime, @BlogtorWho & more.",31452
751,ValuasIndy,306,344,"Ex-wereldreiziger, ex-inwoner van Zambia, toekomstig eigenaar van hotel in Calcutta, lesgeven, lezen, hardlopen, VVV-Venlo, gitaar, Chinees, muziek, Tool, ...",6385
752,LovrensHeader,820,160,,1265
753,Soccernews_nl,18778,8087,Dagelijks het laatste voetbalnieuws uit binnen- en buitenland.,298398
754,Bomberos_CDMX,15759,149,Cuenta Oficial del Heroico Cuerpo de Bomberos de la Ciudad de México,10254
755,CrapanzanoRobin,545,1134,Volgt nieuws over Ajax,260465
756,elenven_art,190,171,"18/Student #illustrator and introvert 
-rus/eng 


#artist",473
757,Ajax_Ranger,829,364,"Blogger @ShinyToyRobots_ and @Tokunation staff member ZeoRangerV. Writer as seen in/on @NEO_Magazine, @MyMMag, @TokuToyStore, @ukanime, @BlogtorWho & more.",31452
758,nklmg1025,71,399,"20↑ • ♏ • 🐳🌤 | 🔶👹 | 🔥❄️ This is my rant account, I retweet BL stuff and tweet personal depressing stressful stuff too.",3658
759,nklmg1025,71,399,"20↑ • ♏ • 🐳🌤 | 🔶👹 | 🔥❄️ This is my rant account, I retweet BL stuff and tweet personal depressing stressful stuff too.",3658
760,nklmg1025,71,399,"20↑ • ♏ • 🐳🌤 | 🔶👹 | 🔥❄️ This is my rant account, I retweet BL stuff and tweet personal depressing stressful stuff too.",3658
761,nklmg1025,71,399,"20↑ • ♏ • 🐳🌤 | 🔶👹 | 🔥❄️ This is my rant account, I retweet BL stuff and tweet personal depressing stressful stuff too.",3658
762,nklmg1025,71,399,"20↑ • ♏ • 🐳🌤 | 🔶👹 | 🔥❄️ This is my rant account, I retweet BL stuff and tweet personal depressing stressful stuff too.",3658
763,nklmg1025,71,399,"20↑ • ♏ • 🐳🌤 | 🔶👹 | 🔥❄️ This is my rant account, I retweet BL stuff and tweet personal depressing stressful stuff too.",3658
764,grahamcullen10,198,1034,,2377
765,EnaugheAghogho,174,1416,,1527
766,drfakiakin,9305,1209,Obezite Cerrahisi / Bariatric Surgery ••• 🇧🇪Born in Belgium (University of Ghent) 🇹🇷Living in Turkey 🦅Beşiktaş Congress Member,4751
767,SFDSAjax,223,65,"The Official Twitter Page of the St. Francis de Sales Parish in Ajax, Ontario, Canada.",828
768,xxyouss,226,226,ziyech fc & ajax.,1687
769,Lilian1899,13,38,🇲🇫,361
770,faraz_ajax,59,105,I like Football ⚽,565
771,Simon1499,417,811,"PSV | Liverpool FC | Messi |                               
'Het Grootste Licht van PSV'",8408
772,SFDSAjax,223,65,"The Official Twitter Page of the St. Francis de Sales Parish in Ajax, Ontario, Canada.",828
773,qn_giorno,14726,13,,142009
774,MeesterJari,389,712,Ajax | 2 dochters | 1 vriendin | bier | bitterballen | vooral niet alles serieus nemen | nog meer ajax | muziek,4025
775,Ajax_en_folie,34,193,自由な演劇。馬。自由な美術。,220
776,runningwolf1954,765,5000,,2153
777,AjaxFanatics,20174,139,Het laatste nieuws over de mooiste club ter wereld!,46883
778,Alaphilippe_,2909,1398,Ziet graag Ajax voetballen. Kijkt veel naar LaLiga.,31561
779,Raidho5,309,160,"⚽️ Discutions autour de l’@ogcnice ⚫️🔴. 📺 Intervenant dans @p_rolongations sur Azur TV. Jeux-Vidéo, Cinéma, Musique, Mythologie nordique, F1, Moto.",4404
780,kurakimari,322,1518,"Horror, occult, video games, animation, music, FFXIV, Diluc's gf and Lucio's fan.♡ || bts fan acct : @marijjangbboong || she/her. 21 || 🇷🇪",92657
